day,Dose,strain 142,strain 142,strain 142,strain 143,strain 143,strain 143,strain 144,strain 144,strain 144,strain 145,strain 145,strain 145,strain 146,strain 146,strain 146,strain 147,strain 147,strain 147,strain 148,strain 148,strain 148,strain 149,strain 149,strain 149,strain 150,strain 150,strain 150,strain 151,strain 151,strain 151,strain 152,strain 152,strain 152,strain 153,strain 153,strain 153
1,80 mM,83.0769230769231,89.0909090909091,60,100,97.1014492753623,100,40.9090909090909,32,54.2553191489362,,,,31.9148936170213,23.3333333333333,34.0659340659341,91.6666666666667,76.4705882352941,81.0810810810811,80.8219178082192,64.9350649350649,76.8421052631579,48.1481481481481,63.5294117647059,50,78.9473684210526,100,81.6901408450704,43.956043956044,47.3214285714286,54.7368421052632,18.6274509803922,27.1604938271605,27.5,44.0944881889764,37.1951219512195,33.3333333333333
1,90 mM,39.6825396825397,20.2380952380952,32.8947368421053,100,100,88.8888888888889,19.8019801980198,16.3265306122449,28.0898876404494,,,,42.6666666666667,47.0588235294118,35.4838709677419,65.2173913043478,80.7692307692308,87.6712328767123,75,73.4177215189873,83.5616438356164,32.9411764705882,33.3333333333333,27.710843373494,98.1651376146789,90.3614457831325,85.5769230769231,17.8571428571429,23.0769230769231,12.3711340206186,0.869565217391304,0.99009900990099,1.96078431372549,8.04597701149425,10.126582278481,8.49056603773585
1,100 mM,2.85714285714286,6.49350649350649,17.6470588235294,42.0454545454545,34.4827586206897,45.2380952380952,8.86075949367089,11.1111111111111,4.3010752688172,0,,0,5.74712643678161,5,9.52380952380952,56.3380281690141,38.1818181818182,34.7222222222222,46.1538461538462,51.219512195122,34,5.88235294117647,0,16.0714285714286,47.1153846153846,69.0265486725664,71.6049382716049,1.0752688172043,2.45901639344262,0,0,0,0,0.649350649350649,0.87719298245614,0
1,110 mM,0,0,0,32.8125,10.1123595505618,4,2.67857142857143,0,4.28571428571429,,,,0,0,1.51515151515152,13.0434782608696,14.6341463414634,17.3913043478261,17.8571428571429,12.280701754386,9.52380952380952,0,0,0,23.3766233766234,30.2631578947368,52.5773195876289,0,0.694444444444444,1.16279069767442,0,0,0,0,0,0
1,120 mM,0,0,0,28.2608695652174,13.8888888888889,10.2040816326531,0,0,0,,,,0,0,0,4.08163265306122,8.21917808219178,2.27272727272727,9.72222222222222,5.55555555555556,2.32558139534884,0,0,0.840336134453782,14.7368421052632,28.7128712871287,26.6666666666667,0,0,0,0,0,0,0,0,0
2,80 mM,33.7349397590361,40,26.5957446808511,90.7407407407407,95.7446808510638,95.7746478873239,58.6538461538462,38.8349514563107,52.9411764705882,55.0724637681159,48.9795918367347,42.3076923076923,47.7272727272727,24.7422680412371,23.3644859813084,39.4736842105263,56.25,74.0740740740741,35.8695652173913,30.188679245283,47.0588235294118,54,48.314606741573,51.4705882352941,50,80.5555555555556,46.6666666666667,75.609756097561,64.7727272727273,57.4712643678161,18.3823529411765,8.26446280991736,8.16326530612245,55.5555555555556,48.6486486486487,44.0366972477064
2,90 mM,26.6666666666667,44.047619047619,29.3478260869565,35.4430379746835,47.1428571428571,46.7532467532467,21.6783216783217,35.5769230769231,11.6666666666667,21.875,6.12244897959184,23.0769230769231,38.961038961039,50,39.5833333333333,59.2592592592593,92.3076923076923,53.125,22.2222222222222,28,20,0,7.14285714285714,2,24.2424242424242,80,40,16.6666666666667,19.4444444444444,21.6216216216216,0,2.17391304347826,2.08333333333333,27.7777777777778,20.6896551724138,0
2,100 mM,3.77358490566038,3.79746835443038,5.79710144927536,58.8235294117647,73.75,88.3720930232558,10.4838709677419,5.6,9.48905109489051,8.10810810810811,7.93650793650794,3.84615384615385,11.6788321167883,14.5833333333333,20.2020202020202,34.4827586206897,23.0769230769231,,27.2727272727273,25.7425742574257,19.7368421052632,0,5.88235294117647,11.1111111111111,68.2926829268293,75.4716981132076,68.5714285714286,6.52173913043478,5.61797752808989,13.0952380952381,0,0,0,7.2,7.5187969924812,5.40540540540541
2,110 mM,1.04166666666667,2.83018867924528,1.86915887850467,46.9135802469136,45.5555555555556,53.75,4.28571428571429,2.63157894736842,5.64516129032258,1.72413793103448,0,5.88235294117647,4.21052631578947,3.38983050847458,0,10.4166666666667,10.3448275862069,5.26315789473684,14.7727272727273,28.5714285714286,23.943661971831,0,0,0,26.9230769230769,21.0526315789474,41.1764705882353,1.25,0,0.961538461538462,0,0,0,0,1.89873417721519,0.740740740740741
2,120 mM,0,0,0,20.952380952381,5.40540540540541,0,0,0,0,0,0,0,0,0,0,0,3.17460317460317,,0,3.75,9.00900900900901,0,0,0,17.0212765957447,27.027027027027,31.9148936170213,0,1.26582278481013,1.26582278481013,0,0,0,0,0,0
3,80 mM,17.0454545454545,23.8461538461538,27.5862068965517,97.6190476190476,93.3333333333333,90.6666666666667,38.4615384615385,39.7590361445783,40.3508771929825,35.7142857142857,44.3298969072165,60,23.6559139784946,23.5294117647059,17.6923076923077,92.3076923076923,85.3658536585366,80.5369127516778,48.9795918367347,56,47.787610619469,36.2962962962963,40.6779661016949,52.9411764705882,87.378640776699,86.1702127659574,98.9690721649485,48.780487804878,34.4827586206897,37.5,48.8888888888889,47.9591836734694,50.8196721311475,57.4712643678161,44.6601941747573,40.7407407407407
3,90 mM,37.1428571428571,38.8888888888889,40,65.2173913043478,58.1818181818182,49.1803278688525,25.7425742574257,18.3333333333333,15.5555555555556,15,24.4755244755245,34.1269841269841,22.8260869565217,34.1666666666667,35.2941176470588,70.8029197080292,43.1654676258993,52.1367521367521,26.7716535433071,50.4504504504504,32.258064516129,29.5454545454545,38.3561643835616,54.2168674698795,56.25,73.015873015873,60.7843137254902,36.1111111111111,23.4567901234568,26.9230769230769,47.5,41.1167512690355,41.2371134020619,55.5555555555556,50.6024096385542,38.3838383838384
3,100 mM,41.5929203539823,36.2637362637363,27.8688524590164,42.6229508196721,51.063829787234,51.4705882352941,25.1655629139073,8.14814814814815,19.8529411764706,20.1923076923077,22.0183486238532,26.056338028169,11.864406779661,12.621359223301,19.7278911564626,42.6751592356688,48.4375,46.1928934010152,21.978021978022,26,25.4237288135593,19.047619047619,26.7441860465116,23.2394366197183,52.3809523809524,44.5454545454545,45.6310679611651,10.1694915254237,10.8527131782946,3.30578512396694,19.3181818181818,35.6164383561644,15.6565656565657,36.3636363636364,40.2985074626866,22.3076923076923
3,110 mM,0,0,0,46.5116279069767,20,58,0.99009900990099,14.7058823529412,13.8888888888889,6.71140939597315,5.19480519480519,4.28571428571429,5.09554140127389,5.59006211180124,6.09756097560976,24.2424242424242,6.80628272251309,42.3076923076923,6.45161290322581,14.1176470588235,12.7388535031847,1.38888888888889,6.89655172413793,0,33.6,40.4761904761905,45.9715639810426,1.19047619047619,3.87096774193548,2.38095238095238,7.14285714285714,6.77966101694915,7.43801652892562,15.625,22.2972972972973,14.6341463414634
3,120 mM,0.684931506849315,0,0,20.3389830508475,6.84931506849315,8.88888888888889,0,1.0989010989011,0,0,0,0,0.645161290322581,0.689655172413793,0,1.16279069767442,3.37078651685393,0.606060606060606,11.6129032258065,16.6666666666667,12.8491620111732,0,0,0,27.2727272727273,58.955223880597,23.6559139784946,0,0,0,0,0,0,3.64963503649635,0.819672131147541,1.78571428571429