strain,number,ratio1,ratio2,ratio3,ratio4,average
AB1 ,1,21.2765957446809,32.4675324675325,38.3561643835616,28.8659793814433,30.2415679943046
AB4 ,2,0,1.92307692307692,0,1.17647058823529,0.774886877828054
BRC20067 ,3,0,0,0,0,0
ECA243,4,0,0,0,0,0
CB4852 ,5,0,0,0,0,0
CB4853 ,6,57.1428571428571,58.3333333333333,42.2535211267606,45.0980392156863,50.7069377046593
CB4854 ,7,0,0,1.35135135135135,2.4390243902439,0.947593935398813
ECA36 ,8,0,0,0,0,0
ECA248,9,0,0,0,0,0
ECA250,10,0,0,0,0,0
ECA252 ,11,0,0,0,0,0
CB4932 ,12,0,0,0,0,0
CX11254 ,13,0,0,5.12820512820513,0,1.28205128205128
CX11262 ,14,0,0,0,0,0
CX11264 ,15,0,0,0,0,0
CX11271 ,16,37.2549019607843,25.3012048192771,32.5,15.1260504201681,27.5455393000574
CX11276 ,17,13.7404580152672,25.1968503937008,25.5813953488372,21.5686274509804,21.5218328021964
CX11285 ,18,0,0,0,0,0
CX11292 ,19,10.7142857142857,44.8717948717949,22.3214285714286,24.3478260869565,25.5638338111164
CX11315 ,21,0,0,0,0,0
DL200 ,22,3.84615384615385,0,2.77777777777778,0,1.65598290598291
DL226 ,23,0,18,23.3333333333333,9.43396226415094,12.6918238993711
ED3005 ,24,0,0,0,0,0
ED3011 ,25,0,0,0.819672131147541,0,0.204918032786885
ED3012 ,26,0,0,0,0,0
ED3040 ,27,1.42857142857143,10.6194690265487,2.08333333333333,12.1739130434783,6.57632170798292
ED3046 ,28,66.6666666666667,54.954954954955,63.0952380952381,39.1752577319588,55.9730293622046
ED3048 ,29,0.909090909090909,4.44444444444444,0.775193798449612,1.06382978723404,1.79813973480475
ED3049 ,30,54.3103448275862,60,38.5416666666667,39.3162393162393,48.042062702623
ED3052 ,31,0,1.06382978723404,1.72413793103448,0.78125,0.892304429567131
ED3073 ,32,0,0,0,0,0
ED3077 ,33,0,0,0,0,0
EG4347 ,34,6.94444444444444,0,1.63934426229508,0,2.14594717668488
EG4349 ,35,0,7.61904761904762,11.3636363636364,9.41176470588235,7.09861217214158
EG4724 ,36,0,0,0,0,0
EG4946 ,37,0,0,0,0,0
GXW1 ,38,0,0,0,0,0
JU310 ,39,0,0,0,0,0
JU311 ,40,0,64,0,0,16
JT11398,146,1.58730158730159,3.2258064516129,0,0,1.20327700972862
MY16,147,0,0,0,0,0
CB4856,148,0,0,0,0,0
CX11307 ,20,1.0752688172043,0,1.23456790123457,0,0.577459179609717
JU830 ,58,1.04166666666667,5.3030303030303,10.7438016528926,7.43243243243243,6.13023276375549
EG4725,143,55.1282051282051,26.3888888888889,29.3333333333333,20.2380952380952,32.7721306471306
JU775,144,2.5,5.45454545454545,0,0,1.98863636363636
MY23,145,0,0,0,0,0
DL238,150,62.7118644067797,54.7169811320755,32.4324324324324,42.1052631578947,47.9916352822956
JU323 ,42,0,0,0,0,0
JU346 ,43,0,0,0,0,0
JU393 ,46,0,0,0,0,0
JU397 ,48,0,0,0,0,0
JU406 ,49,0,0,0,0,0
JU440 ,50,1.96078431372549,8.69565217391304,7.89473684210526,5.21739130434783,5.94214115852291
JU1172 ,61,0,0,0,0,0
JU1200 ,62,73.972602739726,62.2222222222222,69.2737430167598,66.0550458715596,67.8809034625669
JU1212 ,63,36.5079365079365,39.7163120567376,33.9130434782609,30.7086614173228,35.2114883650645
JU1213 ,64,0,8.82352941176471,5.05050505050505,11.6279069767442,6.37548535975349
JU1242 ,65,0,0,0,0,0
JU1246 ,66,0,0,0,0,0
JU1395 ,67,46.969696969697,36.5,16,15.8620689655172,28.8329414838036
JU1400 ,68,0,0,0,0,0
JU1409 ,69,3.27868852459016,10.2564102564103,5.26315789473684,3.75,5.63706416893432
JU1440 ,70,55.9748427672956,59.1397849462366,54.3046357615894,55.5555555555556,56.2437047576693
JU1491 ,71,0,0,1.9047619047619,0,0.476190476190476
JU1581 ,72,10.7142857142857,21.3114754098361,10.8695652173913,31.1111111111111,18.501609363156
JU1530 ,73,0,0,0,0,0
JU1568 ,74,2.24719101123596,1.89873417721519,0,0.62111801242236,1.19176080021838
JU1586 ,76,46.6666666666667,59.2233009708738,53.763440860215,100,64.9133521244389
JU1652 ,77,100,92.9133858267717,100,46.6666666666667,84.8950131233596
JU1896 ,78,0,0,0,0,0
JU2001 ,79,0,0,0,0,0
JU2007 ,80,0,0,0,0,0
JU2316 ,81,90,75.2808988764045,59.1666666666667,22.5225225225225,61.7425220163984
JU2466 ,82,15.7303370786517,19.327731092437,4.28571428571429,26.3736263736264,16.4293522076073
JU2513 ,84,4.44444444444444,6.48148148148148,3.07692307692308,3.93700787401575,4.48496421921619
JU2519 ,85,0,0,0,0,0
JU2522 ,86,12,20.6349206349206,17.5,26.6666666666667,19.2003968253968
JU2526 ,87,0,0,0,0,0
KR314 ,88,1.87793427230047,5.14285714285714,1.96078431372549,4.739336492891,3.43022805544352
MY1 ,90,0,0,0,0,0
MY10 ,91,1.58730158730159,3.07692307692308,1.2987012987013,0,1.49073149073149
MY18 ,92,0,0,0,0,0
NIC1 ,93,4.54545454545455,6.75675675675676,1.49253731343284,0,3.19868715391103
NIC2 ,94,0,0,0,0,0
NIC166 ,96,27.0588235294118,34.8623853211009,28.5714285714286,14.5454545454545,26.259522991849
NIC199 ,98,45.1612903225806,52.9411764705882,64.9122807017544,54.6666666666667,54.4203535403975
NIC207 ,99,0,0,0,0,0
NIC231 ,100,0,0,0,0,0
CX11307 ,20,1.55038759689922,8.06451612903226,6.38297872340426,7.46268656716418,5.86514225412498
JU830 ,58,3.84615384615385,8.08823529411765,2.5974025974026,1.92307692307692,4.11371716518775
EG4725,143,42.8571428571429,48.5294117647059,45.4545454545455,42.156862745098,44.7494907053731
JU775,144,0,0,0,0,0
MY23,145,0,0,0,0,0
DL238,150,26.530612244898,46.6019417475728,49.1071428571429,59.8130841121495,45.5131952404408