DATE,PA_conc,strain1,strain1,strain1,strain2,strain2,strain2,strain3,strain3,strain3,strain4,strain4,strain4,strain5,strain5,strain5,strain6,strain6,strain6,strain7,strain7,strain7,strain8,strain8,strain8,strain9,strain9,strain9,strain10,strain10,strain10,strain11,strain11,strain11,strain12,strain12,strain12
10132015,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10132015,20,100,100,100,100,100,100,100,100,98.3606557377049,99.3377483443709,98.2142857142857,99.2805755395683,100,100,100,100,100,100,96.1538461538462,98.1308411214953,100,100,100,99.236641221374,100,100,100,100,100,100,100,100,100,100,100,100
10132015,40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10132015,60,98.9010989010989,100,100,98.9010989010989,98.2905982905983,97.5409836065574,92.8571428571429,96.9387755102041,97.65625,97.2222222222222,95.8579881656805,96.969696969697,98.2658959537572,96.4467005076142,97.8947368421053,100,100,100,96.1538461538462,96.7741935483871,92.436974789916,92.3076923076923,91.1764705882353,97.4025974025974,94.9720670391062,98.159509202454,97.2222222222222,99.009900990099,98.9583333333333,100,97.65625,97.7443609022556,98.4496124031008,97.4576271186441,99.1735537190083,99.236641221374
10132015,80,25,28.1481481481481,22.3529411764706,96.1832061068702,94.9044585987261,97.6047904191617,28.3018867924528,35.2941176470588,31.8181818181818,29.0322580645161,37.888198757764,26.9461077844311,22.2929936305732,27.0588235294118,27.7173913043478,92.4528301886792,83.3333333333333,94.5945945945946,21.1267605633803,38.3177570093458,37.8787878787879,44.1558441558442,21.7821782178218,37.6623376623377,97.2972972972973,86.7924528301887,89.9497487437186,31.6455696202532,32.4324324324324,40.1408450704225,46.9026548672566,43.1654676258993,38.4615384615385,51.8867924528302,55.9322033898305,51.7241379310345
10132015,100,10.2362204724409,1.78571428571429,7.82608695652174,23.841059602649,22.8571428571429,27.4611398963731,0,3.33333333333333,3.33333333333333,18.8679245283019,17.8571428571429,17.8082191780822,7.79220779220779,9.03614457831325,6.56565656565657,15.4929577464789,14.8148148148148,24.6031746031746,0,0,0,5.79710144927536,8.54700854700855,14.3939393939394,54.5454545454545,32.2147651006711,54.9295774647887,2.29885057471264,1.69491525423729,2.3121387283237,13.5135135135135,19.3548387096774,14.0625,1.51515151515152,4.08163265306122,3.84615384615385
10132015,120,2.54237288135593,0,0.884955752212389,3.54609929078014,2.22222222222222,9.70149253731343,0,0,0,2.1978021978022,0.578034682080925,2.1505376344086,5.59440559440559,3.78787878787879,4.76190476190476,3.03030303030303,7.80141843971631,3.57142857142857,0,0,0,0,0,0,3.55329949238579,2.29885057471264,5.79710144927536,0,0,0,0,0,0,0,0,0
10132015,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10497237569061,1.55440414507772,0,0,0,0,0,0,0,0,0,0
10152015,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10152015,20,100,100,100,100,100,100,100,100,100,96.5116279069768,100,94.2528735632184,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10152015,40,100,100,100,100,100,99.1228070175439,98.4251968503937,99.1666666666667,100,98.7179487179487,100,100,100,98.989898989899,99.1304347826087,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10152015,60,100,100,100,100,100,100,100,100,100,100,100,100,98.989898989899,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10152015,80,98.75,96.875,92.7710843373494,100,100,97.029702970297,98.8372093023256,98.0952380952381,100,98.6666666666667,100,97.3684210526316,99.0654205607477,98.9473684210526,97.1698113207547,98.0769230769231,98.8636363636364,97.4137931034483,95.2941176470588,98.8505747126437,100,97.6470588235294,97.7777777777778,92.6829268292683,100,100,100,98.5714285714286,95.5056179775281,97.6470588235294,97.5,88,96.25,100,98.936170212766,96.6666666666667
10152015,100,0,0,0,78.0487804878049,93.75,90.5882352941177,0.862068965517241,0,0.943396226415094,8.57142857142857,7.69230769230769,7.61904761904762,0,0,0,56.25,56.4705882352941,54.9450549450549,2.77777777777778,9.52380952380952,3.33333333333333,0,1.02040816326531,2.04081632653061,59.0163934426229,85.5263157894737,61.1111111111111,8.33333333333333,8.53658536585366,8.69565217391304,0,0,0,3.75,6.41025641025641,3.44827586206897
10152015,120,0,0,0,16.25,28.0898876404494,15,0,0,0,0,0,0,0,0,0,10,18.1818181818182,8.33333333333333,0,0,0,0,0,0,16.3934426229508,16.6666666666667,20,0,0,0,0,0,0,0,0,0
10152015,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94736842105263,0,6.17283950617284,0,0,0,0,0,0,0,0,0
10192015,0,100,100,100,100,99.0196078431373,100,100,99.0825688073395,100,100,100,100,100,100,100,100,100,100,97.9166666666667,100,100,100,96.551724137931,100,100,100,100,100,100,100,100,100,100,100,100,100
10192015,20,98.6111111111111,97.2972972972973,96.3414634146341,100,100,100,100,100,98,98.7654320987654,100,100,100,100,100,100,100,99.1379310344828,100,100,100,100,98.2142857142857,100,100,100,100,100,100,100,100,98.6842105263158,100,98.8505747126437,100,100
10192015,40,97.2222222222222,100,98.6486486486486,98.8888888888889,100,100,100,98.3193277310924,98.3471074380165,96.4285714285714,98.7341772151899,99.0196078431373,99.0384615384615,99.0476190476191,100,100,100,100,100,100,98.9690721649485,100,98.9795918367347,99.0654205607477,100,98.7951807228916,98.989898989899,100,100,100,100,100,100,100,100,100
10192015,60,97.7011494252874,97.9591836734694,98.8888888888889,100,100,100,98.2142857142857,99.0566037735849,99.0990990990991,89.7058823529412,93.9393939393939,95.2380952380952,100,99.1452991452991,99.1228070175439,100,100,100,96.9387755102041,97.2972972972973,100,100,97.8494623655914,98.8095238095238,100,98.8505747126437,100,97.7099236641221,95.8762886597938,99.1869918699187,97.2602739726027,96.2025316455696,97.4683544303797,100,100,97.5609756097561
10192015,80,67.1875,73.9130434782609,77.1428571428572,99.1596638655462,99.0740740740741,100,82.2916666666667,80.8080808080808,76.8421052631579,79.5454545454545,76.6666666666667,81.0526315789474,86.8131868131868,88.3720930232558,90.9090909090909,100,97.5609756097561,94.9494949494949,78.3333333333333,78.9473684210526,75.7009345794392,57.1428571428571,53.8461538461538,53.9473684210526,100,97.8723404255319,100,64.2857142857143,71.7171717171717,70.8860759493671,90.6666666666667,88.3720930232558,86.5168539325843,65.8536585365854,78.0821917808219,79.2207792207792
10192015,100,1.92307692307692,0,1.0989010989011,73.6842105263158,84.4155844155844,76.1904761904762,3.06122448979592,3,1.63934426229508,4.44444444444444,6.41025641025641,4.65116279069767,1.06382978723404,0.952380952380952,3.44827586206897,38.961038961039,46.5346534653465,35.8695652173913,1.0989010989011,1.04166666666667,1.78571428571429,0,0,0,47.0588235294118,40.2298850574713,46.2365591397849,1.94174757281553,0,0.980392156862745,1.03092783505155,1.23456790123457,1.16279069767442,2.27272727272727,1.17647058823529,1.16279069767442
10192015,120,0,1.31578947368421,0,8.64197530864197,7.95454545454545,19.2307692307692,0,0,0,1.17647058823529,0,0,0,0,0,0,0.925925925925926,1,0,0,0,0,0,0,12.6760563380282,16.6666666666667,15.0684931506849,0,0,0,0,0,0,0,0,0
10192015,140,0,0,0,0,0,1.08695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0