strain,day0,day2,replicate,plate
CX11307,88,0,1,1
CX11307,126,2,2,1
CX11307,83,1,3,1
CX11307,72,0,4,1
CX11307,74,1,5,1
CX11307,83,0,6,1
CX11307,100,0,7,1
CX11307,73,0,8,1
CX11307,31,0,1,2
CX11307,58,0,2,2
CX11307,60,2,3,2
CX11307,93,0,4,2
CX11307,75,0,5,2
CX11307,80,0,6,2
CX11307,123,0,7,2
CX11307,89,0,8,2
CX11307,93,3,1,3
CX11307,84,4,2,3
CX11307,67,4,3,3
CX11307,70,2,4,3
CX11307,92,5,5,3
CX11307,84,6,6,3
CX11307,128,2,7,3
CX11307,87,7,8,3
CX11307,12,0,1,4
CX11307,23,0,2,4
CX11307,41,0,3,4
CX11307,42,0,4,4
CX11307,52,0,5,4
CX11307,69,0,6,4
CX11307,51,0,7,4
CX11307,54,0,8,4
CX11307,92,0,1,5
CX11307,54,5,2,5
CX11307,114,7,3,5
CX11307,109,0,4,5
CX11307,65,0,5,5
CX11307,80,0,6,5
CX11307,98,1,7,5
CX11307,88,1,8,5
JU830,78,0,1,1
JU830,80,0,2,1
JU830,67,0,3,1
JU830,89,0,4,1
JU830,53,0,5,1
JU830,55,0,6,1
JU830,84,0,7,1
JU830,94,0,8,1
JU830,59,0,1,2
JU830,146,0,2,2
JU830,97,0,3,2
JU830,93,0,4,2
JU830,87,0,5,2
JU830,69,0,6,2
JU830,66,0,7,2
JU830,91,0,8,2
JU830,91,2,1,3
JU830,36,1,2,3
JU830,128,0,3,3
JU830,136,4,4,3
JU830,109,1,5,3
JU830,86,5,6,3
JU830,74,1,7,3
JU830,80,0,8,3
JU830,56,1,1,4
JU830,71,0,2,4
JU830,70,0,3,4
JU830,69,0,4,4
JU830,64,0,5,4
JU830,72,0,6,4
JU830,60,0,7,4
JU830,82,0,8,4
JU830,39,0,1,5
JU830,64,0,2,5
JU830,37,0,3,5
JU830,93,0,4,5
JU830,45,0,5,5
JU830,46,0,6,5
JU830,52,0,7,5
JU830,71,0,8,5
EG4725,83,56,1,1
EG4725,69,43,2,1
EG4725,48,20,3,1
EG4725,83,37,4,1
EG4725,40,14,5,1
EG4725,53,18,6,1
EG4725,100,42,7,1
EG4725,74,25,8,1
EG4725,26,7,1,2
EG4725,61,30,2,2
EG4725,58,14,3,2
EG4725,51,14,4,2
EG4725,51,16,5,2
EG4725,56,18,6,2
EG4725,54,17,7,2
EG4725,73,29,8,2
EG4725,75,52,1,3
EG4725,64,51,2,3
EG4725,82,50,3,3
EG4725,58,33,4,3
EG4725,84,49,5,3
EG4725,81,48,6,3
EG4725,73,40,7,3
EG4725,64,36,8,3
EG4725,55,19,1,4
EG4725,58,15,2,4
EG4725,63,22,3,4
EG4725,41,14,4,4
EG4725,44,9,5,4
EG4725,63,12,6,4
EG4725,49,15,7,4
EG4725,101,41,8,4
EG4725,70,26,1,5
EG4725,118,80,2,5
EG4725,72,36,3,5
EG4725,60,22,4,5
EG4725,81,33,5,5
EG4725,75,49,6,5
EG4725,82,45,7,5
EG4725,79,37,8,5
JU775,40,0,1,1
JU775,49,0,2,1
JU775,42,0,3,1
JU775,56,0,4,1
JU775,74,0,5,1
JU775,43,0,6,1
JU775,51,0,7,1
JU775,92,0,8,1
JU775,105,2,1,2
JU775,78,3,2,2
JU775,70,0,3,2
JU775,63,0,4,2
JU775,58,0,5,2
JU775,62,0,6,2
JU775,81,0,7,2
JU775,111,3,8,2
JU775,65,0,1,3
JU775,76,1,2,3
JU775,70,3,3,3
JU775,105,2,4,3
JU775,106,2,5,3
JU775,104,3,6,3
JU775,132,5,7,3
JU775,115,6,8,3
JU775,60,1,1,4
JU775,64,1,2,4
JU775,59,0,3,4
JU775,71,0,4,4
JU775,72,0,5,4
JU775,69,2,6,4
JU775,81,0,7,4
JU775,102,2,8,4
JU775,43,0,1,5
JU775,103,1,2,5
JU775,84,0,3,5
JU775,62,0,4,5
JU775,71,0,5,5
JU775,134,0,6,5
JU775,111,0,7,5
JU775,127,0,8,5
MY23,168,12,1,1
MY23,154,7,2,1
MY23,176,6,3,1
MY23,201,8,4,1
MY23,100,3,5,1
MY23,103,1,6,1
MY23,123,6,7,1
MY23,132,3,8,1
MY23,71,1,1,2
MY23,98,0,2,2
MY23,104,0,3,2
MY23,76,0,4,2
MY23,78,0,5,2
MY23,81,0,6,2
MY23,89,0,7,2
MY23,132,0,8,2
MY23,60,2,1,3
MY23,95,6,2,3
MY23,101,9,3,3
MY23,70,4,4,3
MY23,134,10,5,3
MY23,130,10,6,3
MY23,111,0,7,3
MY23,141,12,8,3
MY23,60,6,1,4
MY23,51,1,2,4
MY23,72,1,3,4
MY23,76,6,4,4
MY23,82,3,5,4
MY23,101,5,6,4
MY23,91,7,7,4
MY23,118,8,8,4
MY23,12,0,1,5
MY23,23,0,2,5
MY23,41,0,3,5
MY23,42,0,4,5
MY23,52,0,5,5
MY23,69,0,6,5
MY23,51,0,7,5
MY23,54,0,8,5
DL238,108,31,1,1
DL238,59,23,2,1
DL238,72,22,3,1
DL238,90,35,4,1
DL238,51,17,5,1
DL238,87,20,6,1
DL238,117,37,7,1
DL238,81,29,8,1
DL238,75,18,1,2
DL238,84,30,2,2
DL238,95,41,3,2
DL238,67,29,4,2
DL238,89,30,5,2
DL238,85,38,6,2
DL238,59,18,7,2
DL238,80,13,8,2
DL238,51,29,1,3
DL238,70,34,2,3
DL238,111,41,3,3
DL238,63,30,4,3
DL238,72,28,5,3
DL238,86,41,6,3
DL238,86,31,7,3
DL238,94,38,8,3
DL238,51,24,1,4
DL238,55,33,2,4
DL238,63,26,3,4
DL238,89,38,4,4
DL238,34,27,5,4
DL238,63,21,6,4
DL238,80,32,7,4
DL238,74,38,8,4
DL238,55,38,1,5
DL238,55,28,2,5
DL238,42,16,3,5
DL238,71,16,4,5
DL238,63,14,5,5
DL238,44,14,6,5
DL238,46,19,7,5
DL238,76,32,8,5