BRC20067,DL238,glct-3_del,glct-3_swap,Day2,Replicate
16.5289256198347,45.4545454545455,52.4752475247525,52.4752475247525,2,r1
18.1208053691275,70,32.1637426900585,39.2857142857143,2,r2
27.8350515463918,47.0588235294118,31.6901408450704,50,2,r3
32.7586206896552,90,70.1149425287356,75,1,r4
29.0909090909091,98.9010989010989,71.4285714285714,60.4651162790698,1,r5
31.25,101.2658,98.94736,,3,r6
20.83333,84.26966,69.5946,,3,r7
45.12195,69.56522,53.84615,,3,r8
31.53527,86.20689,93.1579,,4,r9
39.38053,74.38017,99.33775,,4,r10
32.36246,64.86487,90,,4,r11
42.37288,88.18898,68.47826,,5,r12
45.52239,100,63.02521,,5,r13
37.5,78.86179,61.21212,,5,r14