day	Dose	Concentration	value	strain	pheno	n_conc	strain_name	dose_mean
1	80 mM	80	mM	142	83.0769230769231	80	CX11314	44.55292576620882
2	80 mM	80	mM	142	33.7349397590361	80	CX11314	44.55292576620882
3	80 mM	80	mM	142	17.0454545454545	80	CX11314	44.55292576620882
1	80 mM	80	mM	142	89.0909090909091	80	CX11314	44.55292576620882
2	80 mM	80	mM	142	40	80	CX11314	44.55292576620882
3	80 mM	80	mM	142	23.8461538461538	80	CX11314	44.55292576620882
1	80 mM	80	mM	142	60	80	CX11314	44.55292576620882
2	80 mM	80	mM	142	26.5957446808511	80	CX11314	44.55292576620882
3	80 mM	80	mM	142	27.5862068965517	80	CX11314	44.55292576620882
1	80 mM	80	mM	143	100	80	EG4725	95.66450737483758
2	80 mM	80	mM	143	90.7407407407407	80	EG4725	95.66450737483758
3	80 mM	80	mM	143	97.6190476190476	80	EG4725	95.66450737483758
1	80 mM	80	mM	143	97.1014492753623	80	EG4725	95.66450737483758
2	80 mM	80	mM	143	95.7446808510638	80	EG4725	95.66450737483758
3	80 mM	80	mM	143	93.3333333333333	80	EG4725	95.66450737483758
1	80 mM	80	mM	143	100	80	EG4725	95.66450737483758
2	80 mM	80	mM	143	95.7746478873239	80	EG4725	95.66450737483758
3	80 mM	80	mM	143	90.6666666666667	80	EG4725	95.66450737483758
1	80 mM	80	mM	144	40.9090909090909	80	JU775	44.01842621531906
2	80 mM	80	mM	144	58.6538461538462	80	JU775	44.01842621531906
3	80 mM	80	mM	144	38.4615384615385	80	JU775	44.01842621531906
1	80 mM	80	mM	144	32	80	JU775	44.01842621531906
2	80 mM	80	mM	144	38.8349514563107	80	JU775	44.01842621531906
3	80 mM	80	mM	144	39.7590361445783	80	JU775	44.01842621531906
1	80 mM	80	mM	144	54.2553191489362	80	JU775	44.01842621531906
2	80 mM	80	mM	144	52.9411764705882	80	JU775	44.01842621531906
3	80 mM	80	mM	144	40.3508771929825	80	JU775	44.01842621531906
1	80 mM	80	mM	145	NA	80	MY23	47.73398842234085
2	80 mM	80	mM	145	55.0724637681159	80	MY23	47.73398842234085
3	80 mM	80	mM	145	35.7142857142857	80	MY23	47.73398842234085
1	80 mM	80	mM	145	NA	80	MY23	47.73398842234085
2	80 mM	80	mM	145	48.9795918367347	80	MY23	47.73398842234085
3	80 mM	80	mM	145	44.3298969072165	80	MY23	47.73398842234085
1	80 mM	80	mM	145	NA	80	MY23	47.73398842234085
2	80 mM	80	mM	145	42.3076923076923	80	MY23	47.73398842234085
3	80 mM	80	mM	145	60	80	MY23	47.73398842234085
1	80 mM	80	mM	146	31.9148936170213	80	JT11398	27.780646800179454
2	80 mM	80	mM	146	47.7272727272727	80	JT11398	27.780646800179454
3	80 mM	80	mM	146	23.6559139784946	80	JT11398	27.780646800179454
1	80 mM	80	mM	146	23.3333333333333	80	JT11398	27.780646800179454
2	80 mM	80	mM	146	24.7422680412371	80	JT11398	27.780646800179454
3	80 mM	80	mM	146	23.5294117647059	80	JT11398	27.780646800179454
1	80 mM	80	mM	146	34.0659340659341	80	JT11398	27.780646800179454
2	80 mM	80	mM	146	23.3644859813084	80	JT11398	27.780646800179454
3	80 mM	80	mM	146	17.6923076923077	80	JT11398	27.780646800179454
1	80 mM	80	mM	147	91.6666666666667	80	MY16	75.24739477617211
2	80 mM	80	mM	147	39.4736842105263	80	MY16	75.24739477617211
3	80 mM	80	mM	147	92.3076923076923	80	MY16	75.24739477617211
1	80 mM	80	mM	147	76.4705882352941	80	MY16	75.24739477617211
2	80 mM	80	mM	147	56.25	80	MY16	75.24739477617211
3	80 mM	80	mM	147	85.3658536585366	80	MY16	75.24739477617211
1	80 mM	80	mM	147	81.0810810810811	80	MY16	75.24739477617211
2	80 mM	80	mM	147	74.0740740740741	80	MY16	75.24739477617211
3	80 mM	80	mM	147	80.5369127516778	80	MY16	75.24739477617211
1	80 mM	80	mM	148	80.8219178082192	80	CB4856	54.27592871719242
2	80 mM	80	mM	148	35.8695652173913	80	CB4856	54.27592871719242
3	80 mM	80	mM	148	48.9795918367347	80	CB4856	54.27592871719242
1	80 mM	80	mM	148	64.9350649350649	80	CB4856	54.27592871719242
2	80 mM	80	mM	148	30.188679245283	80	CB4856	54.27592871719242
3	80 mM	80	mM	148	56	80	CB4856	54.27592871719242
1	80 mM	80	mM	148	76.8421052631579	80	CB4856	54.27592871719242
2	80 mM	80	mM	148	47.0588235294118	80	CB4856	54.27592871719242
3	80 mM	80	mM	148	47.787610619469	80	CB4856	54.27592871719242
1	80 mM	80	mM	149	48.1481481481481	80	JU258	49.4864659731445
2	80 mM	80	mM	149	54	80	JU258	49.4864659731445
3	80 mM	80	mM	149	36.2962962962963	80	JU258	49.4864659731445
1	80 mM	80	mM	149	63.5294117647059	80	JU258	49.4864659731445
2	80 mM	80	mM	149	48.314606741573	80	JU258	49.4864659731445
3	80 mM	80	mM	149	40.6779661016949	80	JU258	49.4864659731445
1	80 mM	80	mM	149	50	80	JU258	49.4864659731445
2	80 mM	80	mM	149	51.4705882352941	80	JU258	49.4864659731445
3	80 mM	80	mM	149	52.9411764705882	80	JU258	49.4864659731445
1	80 mM	80	mM	150	78.9473684210526	80	DL238	78.93085079955003
2	80 mM	80	mM	150	50	80	DL238	78.93085079955003
3	80 mM	80	mM	150	87.378640776699	80	DL238	78.93085079955003
1	80 mM	80	mM	150	100	80	DL238	78.93085079955003
2	80 mM	80	mM	150	80.5555555555556	80	DL238	78.93085079955003
3	80 mM	80	mM	150	86.1702127659574	80	DL238	78.93085079955003
1	80 mM	80	mM	150	81.6901408450704	80	DL238	78.93085079955003
2	80 mM	80	mM	150	46.6666666666667	80	DL238	78.93085079955003
3	80 mM	80	mM	150	98.9690721649485	80	DL238	78.93085079955003
1	80 mM	80	mM	151	43.956043956044	80	N2	51.625700977378656
2	80 mM	80	mM	151	75.609756097561	80	N2	51.625700977378656
3	80 mM	80	mM	151	48.780487804878	80	N2	51.625700977378656
1	80 mM	80	mM	151	47.3214285714286	80	N2	51.625700977378656
2	80 mM	80	mM	151	64.7727272727273	80	N2	51.625700977378656
3	80 mM	80	mM	151	34.4827586206897	80	N2	51.625700977378656
1	80 mM	80	mM	151	54.7368421052632	80	N2	51.625700977378656
2	80 mM	80	mM	151	57.4712643678161	80	N2	51.625700977378656
3	80 mM	80	mM	151	37.5	80	N2	51.625700977378656
1	80 mM	80	mM	152	18.6274509803922	80	E03017	28.418418950919424
2	80 mM	80	mM	152	18.3823529411765	80	E03017	28.418418950919424
3	80 mM	80	mM	152	48.8888888888889	80	E03017	28.418418950919424
1	80 mM	80	mM	152	27.1604938271605	80	E03017	28.418418950919424
2	80 mM	80	mM	152	8.26446280991736	80	E03017	28.418418950919424
3	80 mM	80	mM	152	47.9591836734694	80	E03017	28.418418950919424
1	80 mM	80	mM	152	27.5	80	E03017	28.418418950919424
2	80 mM	80	mM	152	8.16326530612245	80	E03017	28.418418950919424
3	80 mM	80	mM	152	50.8196721311475	80	E03017	28.418418950919424
1	80 mM	80	mM	153	44.0944881889764	80	LKC34	45.081782689861555
2	80 mM	80	mM	153	55.5555555555556	80	LKC34	45.081782689861555
3	80 mM	80	mM	153	57.4712643678161	80	LKC34	45.081782689861555
1	80 mM	80	mM	153	37.1951219512195	80	LKC34	45.081782689861555
2	80 mM	80	mM	153	48.6486486486487	80	LKC34	45.081782689861555
3	80 mM	80	mM	153	44.6601941747573	80	LKC34	45.081782689861555
1	80 mM	80	mM	153	33.3333333333333	80	LKC34	45.081782689861555
2	80 mM	80	mM	153	44.0366972477064	80	LKC34	45.081782689861555
3	80 mM	80	mM	153	40.7407407407407	80	LKC34	45.081782689861555
1	90 mM	90	mM	142	39.6825396825397	90	CX11314	34.32324773285871
2	90 mM	90	mM	142	26.6666666666667	90	CX11314	34.32324773285871
3	90 mM	90	mM	142	37.1428571428571	90	CX11314	34.32324773285871
1	90 mM	90	mM	142	20.2380952380952	90	CX11314	34.32324773285871
2	90 mM	90	mM	142	44.047619047619	90	CX11314	34.32324773285871
3	90 mM	90	mM	142	38.8888888888889	90	CX11314	34.32324773285871
1	90 mM	90	mM	142	32.8947368421053	90	CX11314	34.32324773285871
2	90 mM	90	mM	142	29.3478260869565	90	CX11314	34.32324773285871
3	90 mM	90	mM	142	40	90	CX11314	34.32324773285871
1	90 mM	90	mM	143	100	90	EG4725	65.64528534607719
2	90 mM	90	mM	143	35.4430379746835	90	EG4725	65.64528534607719
3	90 mM	90	mM	143	65.2173913043478	90	EG4725	65.64528534607719
1	90 mM	90	mM	143	100	90	EG4725	65.64528534607719
2	90 mM	90	mM	143	47.1428571428571	90	EG4725	65.64528534607719
3	90 mM	90	mM	143	58.1818181818182	90	EG4725	65.64528534607719
1	90 mM	90	mM	143	88.8888888888889	90	EG4725	65.64528534607719
2	90 mM	90	mM	143	46.7532467532467	90	EG4725	65.64528534607719
3	90 mM	90	mM	143	49.1803278688525	90	EG4725	65.64528534607719
1	90 mM	90	mM	144	19.8019801980198	90	JU775	21.419085890993355
2	90 mM	90	mM	144	21.6783216783217	90	JU775	21.419085890993355
3	90 mM	90	mM	144	25.7425742574257	90	JU775	21.419085890993355
1	90 mM	90	mM	144	16.3265306122449	90	JU775	21.419085890993355
2	90 mM	90	mM	144	35.5769230769231	90	JU775	21.419085890993355
3	90 mM	90	mM	144	18.3333333333333	90	JU775	21.419085890993355
1	90 mM	90	mM	144	28.0898876404494	90	JU775	21.419085890993355
2	90 mM	90	mM	144	11.6666666666667	90	JU775	21.419085890993355
3	90 mM	90	mM	144	15.5555555555556	90	JU775	21.419085890993355
1	90 mM	90	mM	145	NA	90	MY23	20.779480109837255
2	90 mM	90	mM	145	21.875	90	MY23	20.779480109837255
3	90 mM	90	mM	145	15	90	MY23	20.779480109837255
1	90 mM	90	mM	145	NA	90	MY23	20.779480109837255
2	90 mM	90	mM	145	6.12244897959184	90	MY23	20.779480109837255
3	90 mM	90	mM	145	24.4755244755245	90	MY23	20.779480109837255
1	90 mM	90	mM	145	NA	90	MY23	20.779480109837255
2	90 mM	90	mM	145	23.0769230769231	90	MY23	20.779480109837255
3	90 mM	90	mM	145	34.1269841269841	90	MY23	20.779480109837255
1	90 mM	90	mM	146	42.6666666666667	90	JT11398	38.44895608093777
2	90 mM	90	mM	146	38.961038961039	90	JT11398	38.44895608093777
3	90 mM	90	mM	146	22.8260869565217	90	JT11398	38.44895608093777
1	90 mM	90	mM	146	47.0588235294118	90	JT11398	38.44895608093777
2	90 mM	90	mM	146	50	90	JT11398	38.44895608093777
3	90 mM	90	mM	146	34.1666666666667	90	JT11398	38.44895608093777
1	90 mM	90	mM	146	35.4838709677419	90	JT11398	38.44895608093777
2	90 mM	90	mM	146	39.5833333333333	90	JT11398	38.44895608093777
3	90 mM	90	mM	146	35.2941176470588	90	JT11398	38.44895608093777
1	90 mM	90	mM	147	65.2173913043478	90	MY16	67.16166066532479
2	90 mM	90	mM	147	59.2592592592593	90	MY16	67.16166066532479
3	90 mM	90	mM	147	70.8029197080292	90	MY16	67.16166066532479
1	90 mM	90	mM	147	80.7692307692308	90	MY16	67.16166066532479
2	90 mM	90	mM	147	92.3076923076923	90	MY16	67.16166066532479
3	90 mM	90	mM	147	43.1654676258993	90	MY16	67.16166066532479
1	90 mM	90	mM	147	87.6712328767123	90	MY16	67.16166066532479
2	90 mM	90	mM	147	53.125	90	MY16	67.16166066532479
3	90 mM	90	mM	147	52.1367521367521	90	MY16	67.16166066532479
1	90 mM	90	mM	148	75	90	CB4856	45.74241734296805
2	90 mM	90	mM	148	22.2222222222222	90	CB4856	45.74241734296805
3	90 mM	90	mM	148	26.7716535433071	90	CB4856	45.74241734296805
1	90 mM	90	mM	148	73.4177215189873	90	CB4856	45.74241734296805
2	90 mM	90	mM	148	28	90	CB4856	45.74241734296805
3	90 mM	90	mM	148	50.4504504504504	90	CB4856	45.74241734296805
1	90 mM	90	mM	148	83.5616438356164	90	CB4856	45.74241734296805
2	90 mM	90	mM	148	20	90	CB4856	45.74241734296805
3	90 mM	90	mM	148	32.258064516129	90	CB4856	45.74241734296805
1	90 mM	90	mM	149	32.9411764705882	90	JU258	25.02741074657425
2	90 mM	90	mM	149	0	90	JU258	25.02741074657425
3	90 mM	90	mM	149	29.5454545454545	90	JU258	25.02741074657425
1	90 mM	90	mM	149	33.3333333333333	90	JU258	25.02741074657425
2	90 mM	90	mM	149	7.14285714285714	90	JU258	25.02741074657425
3	90 mM	90	mM	149	38.3561643835616	90	JU258	25.02741074657425
1	90 mM	90	mM	149	27.710843373494	90	JU258	25.02741074657425
2	90 mM	90	mM	149	2	90	JU258	25.02741074657425
3	90 mM	90	mM	149	54.2168674698795	90	JU258	25.02741074657425
1	90 mM	90	mM	150	98.1651376146789	90	DL238	67.59956860650243
2	90 mM	90	mM	150	24.2424242424242	90	DL238	67.59956860650243
3	90 mM	90	mM	150	56.25	90	DL238	67.59956860650243
1	90 mM	90	mM	150	90.3614457831325	90	DL238	67.59956860650243
2	90 mM	90	mM	150	80	90	DL238	67.59956860650243
3	90 mM	90	mM	150	73.015873015873	90	DL238	67.59956860650243
1	90 mM	90	mM	150	85.5769230769231	90	DL238	67.59956860650243
2	90 mM	90	mM	150	40	90	DL238	67.59956860650243
3	90 mM	90	mM	150	60.7843137254902	90	DL238	67.59956860650243
1	90 mM	90	mM	151	17.8571428571429	90	N2	21.947656760562456
2	90 mM	90	mM	151	16.6666666666667	90	N2	21.947656760562456
3	90 mM	90	mM	151	36.1111111111111	90	N2	21.947656760562456
1	90 mM	90	mM	151	23.0769230769231	90	N2	21.947656760562456
2	90 mM	90	mM	151	19.4444444444444	90	N2	21.947656760562456
3	90 mM	90	mM	151	23.4567901234568	90	N2	21.947656760562456
1	90 mM	90	mM	151	12.3711340206186	90	N2	21.947656760562456
2	90 mM	90	mM	151	21.6216216216216	90	N2	21.947656760562456
3	90 mM	90	mM	151	26.9230769230769	90	N2	21.947656760562456
1	90 mM	90	mM	152	0.869565217391304	90	E03017	15.325728843214085
2	90 mM	90	mM	152	0	90	E03017	15.325728843214085
3	90 mM	90	mM	152	47.5	90	E03017	15.325728843214085
1	90 mM	90	mM	152	0.99009900990099	90	E03017	15.325728843214085
2	90 mM	90	mM	152	2.17391304347826	90	E03017	15.325728843214085
3	90 mM	90	mM	152	41.1167512690355	90	E03017	15.325728843214085
1	90 mM	90	mM	152	1.96078431372549	90	E03017	15.325728843214085
2	90 mM	90	mM	152	2.08333333333333	90	E03017	15.325728843214085
3	90 mM	90	mM	152	41.2371134020619	90	E03017	15.325728843214085
1	90 mM	90	mM	153	8.04597701149425	90	LKC34	24.408040206205655
2	90 mM	90	mM	153	27.7777777777778	90	LKC34	24.408040206205655
3	90 mM	90	mM	153	55.5555555555556	90	LKC34	24.408040206205655
1	90 mM	90	mM	153	10.126582278481	90	LKC34	24.408040206205655
2	90 mM	90	mM	153	20.6896551724138	90	LKC34	24.408040206205655
3	90 mM	90	mM	153	50.6024096385542	90	LKC34	24.408040206205655
1	90 mM	90	mM	153	8.49056603773585	90	LKC34	24.408040206205655
2	90 mM	90	mM	153	0	90	LKC34	24.408040206205655
3	90 mM	90	mM	153	38.3838383838384	90	LKC34	24.408040206205655
1	100 mM	100	mM	142	2.85714285714286	100	CX11314	16.232374662253317
2	100 mM	100	mM	142	3.77358490566038	100	CX11314	16.232374662253317
3	100 mM	100	mM	142	41.5929203539823	100	CX11314	16.232374662253317
1	100 mM	100	mM	142	6.49350649350649	100	CX11314	16.232374662253317
2	100 mM	100	mM	142	3.79746835443038	100	CX11314	16.232374662253317
3	100 mM	100	mM	142	36.2637362637363	100	CX11314	16.232374662253317
1	100 mM	100	mM	142	17.6470588235294	100	CX11314	16.232374662253317
2	100 mM	100	mM	142	5.79710144927536	100	CX11314	16.232374662253317
3	100 mM	100	mM	142	27.8688524590164	100	CX11314	16.232374662253317
1	100 mM	100	mM	143	42.0454545454545	100	EG4725	54.207699964606675
2	100 mM	100	mM	143	58.8235294117647	100	EG4725	54.207699964606675
3	100 mM	100	mM	143	42.6229508196721	100	EG4725	54.207699964606675
1	100 mM	100	mM	143	34.4827586206897	100	EG4725	54.207699964606675
2	100 mM	100	mM	143	73.75	100	EG4725	54.207699964606675
3	100 mM	100	mM	143	51.063829787234	100	EG4725	54.207699964606675
1	100 mM	100	mM	143	45.2380952380952	100	EG4725	54.207699964606675
2	100 mM	100	mM	143	88.3720930232558	100	EG4725	54.207699964606675
3	100 mM	100	mM	143	51.4705882352941	100	EG4725	54.207699964606675
1	100 mM	100	mM	144	8.86075949367089	100	JU775	11.445835574973072
2	100 mM	100	mM	144	10.4838709677419	100	JU775	11.445835574973072
3	100 mM	100	mM	144	25.1655629139073	100	JU775	11.445835574973072
1	100 mM	100	mM	144	11.1111111111111	100	JU775	11.445835574973072
2	100 mM	100	mM	144	5.6	100	JU775	11.445835574973072
3	100 mM	100	mM	144	8.14814814814815	100	JU775	11.445835574973072
1	100 mM	100	mM	144	4.3010752688172	100	JU775	11.445835574973072
2	100 mM	100	mM	144	9.48905109489051	100	JU775	11.445835574973072
3	100 mM	100	mM	144	19.8529411764706	100	JU775	11.445835574973072
1	100 mM	100	mM	145	0	100	MY23	11.019720529387476
2	100 mM	100	mM	145	8.10810810810811	100	MY23	11.019720529387476
3	100 mM	100	mM	145	20.1923076923077	100	MY23	11.019720529387476
1	100 mM	100	mM	145	NA	100	MY23	11.019720529387476
2	100 mM	100	mM	145	7.93650793650794	100	MY23	11.019720529387476
3	100 mM	100	mM	145	22.0183486238532	100	MY23	11.019720529387476
1	100 mM	100	mM	145	0	100	MY23	11.019720529387476
2	100 mM	100	mM	145	3.84615384615385	100	MY23	11.019720529387476
3	100 mM	100	mM	145	26.056338028169	100	MY23	11.019720529387476
1	100 mM	100	mM	146	5.74712643678161	100	JT11398	12.327642085795281
2	100 mM	100	mM	146	11.6788321167883	100	JT11398	12.327642085795281
3	100 mM	100	mM	146	11.864406779661	100	JT11398	12.327642085795281
1	100 mM	100	mM	146	5	100	JT11398	12.327642085795281
2	100 mM	100	mM	146	14.5833333333333	100	JT11398	12.327642085795281
3	100 mM	100	mM	146	12.621359223301	100	JT11398	12.327642085795281
1	100 mM	100	mM	146	9.52380952380952	100	JT11398	12.327642085795281
2	100 mM	100	mM	146	20.2020202020202	100	JT11398	12.327642085795281
3	100 mM	100	mM	146	19.7278911564626	100	JT11398	12.327642085795281
1	100 mM	100	mM	147	56.3380281690141	100	MY16	40.513412863418914
2	100 mM	100	mM	147	34.4827586206897	100	MY16	40.513412863418914
